Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Conference
LSU,13,10-3,841,7065,8.40,78,543.5,SEC
Oregon,14,12-2,951,7440,7.82,82,531.4,Pac-12
Oklahoma,13,10-3,974,6591,6.77,66,507.0,Big 12
Liberty,14,13-1,973,6988,7.18,71,499.1,CUSA
Georgia,14,13-1,958,6951,7.26,69,496.5,SEC
North Texas,12,5-7,911,5950,6.53,52,495.8,AAC
North Carolina,13,8-5,958,6386,6.67,54,491.2,ACC
UCF,13,6-7,895,6331,7.07,52,487.0,Big 12
Texas,14,12-2,1002,6685,6.67,54,477.5,Big 12
Southern California,13,8-5,823,6079,7.39,70,467.6,Pac-12
TCU,12,5-7,909,5600,6.16,46,466.7,Big 12
Washington,15,14-1,985,6931,7.04,66,462.1,Pac-12
Ole Miss,13,11-2,929,6005,6.46,55,461.9,SEC
Memphis,13,10-3,910,5960,6.55,64,458.5,AAC
Texas St.,13,8-5,958,5949,6.21,57,457.6,Sun Belt
SMU,14,11-3,1020,6360,6.24,62,454.3,AAC
South Fla.,13,7-6,1028,5871,5.71,50,451.6,AAC
UAB,12,4-8,853,5400,6.33,46,450.0,AAC
Tennessee,13,9-4,899,5825,6.48,45,448.1,SEC
Arizona,13,10-3,862,5824,6.76,53,448.0,Pac-12
Kansas,13,9-4,810,5799,7.16,56,446.1,Big 12
App State,14,9-5,1006,6238,6.20,57,445.6,Sun Belt
Kansas St.,13,9-4,959,5788,6.04,62,445.2,Big 12
South Alabama,13,7-6,897,5722,6.38,56,440.2,Sun Belt
Utah St.,13,6-7,932,5702,6.12,53,438.6,Mountain West
Boise St.,14,8-6,932,6106,6.55,54,436.1,Mountain West
West Virginia,13,9-4,896,5650,6.31,50,434.6,Big 12
Missouri,13,11-2,874,5646,6.46,48,434.3,SEC
Notre Dame,13,10-3,808,5619,6.95,59,432.2,FBS Independent
Oklahoma St.,14,10-4,1019,6045,5.93,47,431.8,Big 12
UCLA,13,8-5,937,5552,5.93,45,427.1,Pac-12
Cincinnati,12,3-9,877,5113,5.83,35,426.1,Big 12
Georgia Tech,13,7-6,871,5520,6.34,51,424.6,ACC
Washington St.,12,5-7,852,5060,5.94,44,421.7,Pac-12
UTSA,13,9-4,962,5481,5.70,52,421.6,AAC
Ga. Southern,13,6-7,954,5453,5.72,42,419.5,Sun Belt
Troy,14,11-3,943,5872,6.23,48,419.4,Sun Belt
Toledo,14,11-3,901,5869,6.51,57,419.2,MAC
Coastal Carolina,13,8-5,875,5411,6.18,41,416.2,Sun Belt
Louisville,14,10-4,941,5812,6.18,53,415.1,ACC
UNLV,14,9-5,942,5778,6.13,56,412.7,Mountain West
New Mexico St.,15,10-5,918,6186,6.74,50,412.4,CUSA
New Mexico,12,4-8,793,4927,6.21,43,410.6,Mountain West
Oregon St.,13,8-5,825,5320,6.45,52,409.2,Pac-12
Florida,12,5-7,811,4909,6.05,41,409.1,SEC
Ohio St.,13,11-2,831,5303,6.38,46,407.9,Big Ten
Texas A&M,13,7-6,882,5290,6.00,47,406.9,SEC
San Jose St.,13,7-6,804,5246,6.52,52,403.5,Mountain West
Clemson,13,9-4,998,5235,5.25,44,402.7,ACC
